Instance, Time, BestCost
./instances/dantzig42.tsp,0.180053,12528
./instances/dantzig42.tsp,0.194645,12528
./instances/dantzig42.tsp,0.192401,12528
./instances/dantzig42.tsp,0.196361,12528
./instances/dantzig42.tsp,0.194811,12528
./instances/dantzig42.tsp,0.193226,12528
./instances/dantzig42.tsp,0.161589,12528
./instances/dantzig42.tsp,0.160207,12528
./instances/dantzig42.tsp,0.164797,12528
./instances/dantzig42.tsp,0.161735,12528
./instances/dantzig42.tsp,0.15988,12528
./instances/dantzig42.tsp,0.160575,12528
./instances/dantzig42.tsp,0.163892,12528
./instances/dantzig42.tsp,0.162361,12528
./instances/dantzig42.tsp,0.163645,12528
./instances/dantzig42.tsp,0.166304,12528
./instances/dantzig42.tsp,0.160345,12528
./instances/dantzig42.tsp,0.155387,12528
./instances/kroC100.tsp,12.9006,961324
./instances/kroC100.tsp,9.86693,961324
./instances/kroC100.tsp,11.9319,961324
./instances/kroC100.tsp,9.61339,961324
./instances/kroC100.tsp,10.8952,961324
./instances/kroC100.tsp,8.87488,961324
./instances/kroC100.tsp,11.1912,961324
./instances/kroC100.tsp,12.0213,961324
./instances/kroC100.tsp,10.7104,961324
./instances/kroC100.tsp,12.5512,961324
./instances/kroC100.tsp,12.7144,961324
./instances/kroC100.tsp,8.43106,961324
./instances/kroC100.tsp,11.2201,961324
./instances/kroC100.tsp,11.9121,961324
./instances/kroC100.tsp,10.1678,961324
./instances/kroC100.tsp,9.40825,961324
./instances/kroC100.tsp,7.40728,961324
./instances/kroC100.tsp,9.09042,961324
./instances/kroC100.tsp,11.074,961324
./instances/kroC100.tsp,10.9487,961324
./instances/pr107.tsp,14.3932,2.02663e+06
./instances/pr107.tsp,11.788,2.02663e+06
./instances/pr107.tsp,12.1378,2.02663e+06
./instances/pr107.tsp,10.9816,2.02663e+06
./instances/pr107.tsp,10.8315,2.02663e+06
./instances/pr107.tsp,11.6662,2.02663e+06
./instances/pr107.tsp,9.95128,2.02663e+06
./instances/pr107.tsp,9.44029,2.02663e+06
./instances/pr107.tsp,11.0232,2.02663e+06
./instances/pr107.tsp,12.5516,2.02663e+06
./instances/pr107.tsp,12.3732,2.02663e+06
./instances/pr107.tsp,12.4333,2.02663e+06
./instances/pr107.tsp,11.5339,2.02663e+06
./instances/pr107.tsp,12.1619,2.02663e+06
./instances/pr107.tsp,13.0952,2.02663e+06
./instances/pr107.tsp,13.0428,2.02663e+06
./instances/pr107.tsp,13.4723,2.02663e+06
./instances/pr107.tsp,9.86597,2.02663e+06
./instances/pr107.tsp,10.42,2.02663e+06
./instances/pr107.tsp,11.2475,2.02663e+06
./instances/att48.tsp,0.410537,209320
./instances/att48.tsp,0.418704,209320
./instances/att48.tsp,0.38448,209320
./instances/att48.tsp,0.385954,209320
./instances/att48.tsp,0.405417,209320
./instances/att48.tsp,0.406069,209320
./instances/att48.tsp,0.407682,209320
./instances/att48.tsp,0.419191,209320
./instances/att48.tsp,0.422145,209320
./instances/att48.tsp,0.335899,209320
./instances/att48.tsp,0.334723,209320
./instances/att48.tsp,0.347257,209320
./instances/att48.tsp,0.279916,209320
./instances/att48.tsp,0.293965,209320
./instances/att48.tsp,0.293644,209320
./instances/att48.tsp,0.35166,209320
./instances/att48.tsp,0.352011,209320
./instances/att48.tsp,0.347914,209320
./instances/att48.tsp,0.311795,209320
./instances/att48.tsp,0.310468,209320
./instances/gr96.tsp,7.05324,2.09717e+06
./instances/gr96.tsp,7.08546,2.09717e+06
./instances/gr96.tsp,8.13691,2.09717e+06
./instances/gr96.tsp,8.34656,2.09717e+06
./instances/gr96.tsp,8.16405,2.09717e+06
./instances/gr96.tsp,8.15445,2.09717e+06
./instances/gr96.tsp,7.91272,2.09717e+06
./instances/gr96.tsp,7.2395,2.09717e+06
./instances/gr96.tsp,6.53053,2.09717e+06
./instances/gr96.tsp,9.58943,2.09717e+06
./instances/gr96.tsp,8.81411,2.09717e+06
./instances/gr96.tsp,7.26755,2.09717e+06
./instances/gr96.tsp,10.3033,2.09717e+06
./instances/gr96.tsp,9.38932,2.09717e+06
